Yes(105),Yes(2120 - 2380),7%,5323,631,01月01日,有,41820,,6
Yes(100),Yes(1800 - 2400),6%,6694,2002,01月01日,有,45278,,6
Yes(100),Yes(2140 - 2390),6%,5477,968,12月31日,有,47600,,6
Yes(105),Yes(2040 - 2350),5%,7018,696,01月01日,有,46320,,4
Yes(100),Yes(2120 - 2350),9%,5300,795,01月01日,有,48253,
推荐,Yes(2100 - 2350),7%,6170,765,01月01日,有,53000,,6
Yes(90),Yes(2090 - 2350),6%,4528,399,01月01日,有,46704,,8
推荐,Yes(2090 - 2330),11%,6626,435,01月02日,有,49241,,7
Yes(100),Yes(2050 - 2370),10%,9746,130,01月01日,有,49536,,5
Yes(105),Yes(2160 - 2390),9%,983,101,01月03日,有,45390,,3
Yes(100),Yes(2110 - 2260),15%,5365,467,01月01日,有,48710,,12
Yes(105),Yes(2090 - 2390),13%,9177,586,01月01日,有,48624,,7
Yes(100),Yes(1990 - 2340),12%,4276,311,01月01日,有,49506,,8
Yes(100),Yes(1980 - 2330),9%,6548,557,01月02日,有,49346,,9
Yes(100),Yes(1970 - 2270),16%,14261,1426,01月02日,有,47286,,11
"Yes(无最低分数要求
        )",不需要,17%,6661,391,01月15日,有,48950,,8
Yes(100),Yes(1410 - 2350),13%,6851,410,01月01日,有,44712,,8
Yes(100),Yes(1990 - 2250),20%,8448,700,12月31日,无,47929,,11
Yes(100),Yes(1980 - 2320),15%,3926,770,01月01日,有,42253,,6
Yes(80),Yes(1840 - 1840),16%,25951,3365,11月30日,无,38139,,17
Yes(100),Yes(1970 - 2250),27%,7829,1254,01月15日,有,46314,,8
Yes(100),Yes(1940 - 1500),17%,7595,988,01月10日,有,48611,,11
Yes(83),Yes(1760 - 2150),19%,29633,2013,11月30日,无,35631,,17
Yes(100),Yes(1930 - 2230),18%,18740,2160,01月10日,有,50277,,9
Yes(102),Yes(1860 - 2260),25%,6309,846,01月01日,无,50665,,13
Yes(90),Yes(1870 - 2180),29%,16483,870,01月01日,有,43082,,15
Yes(100),Yes(2040 - 2280),15%,5000,1259,01月01日,有,49520,,9
Yes(100),推荐,29%,4867,82,01月01日,有,47682,,11
Yes(88),Yes(1870 - 2210),32%,28395,1578,02月01日,无,43476,,15
Yes(100),Yes(1960 - 2180),34%,9154,444,01月01日,无,49324,,14
Yes(100),Yes(1790 - 1420),29%,18350,500,01月01日,无,33673,,13
Yes(100),Yes(1940 - 2190),35%,24985,1433,01月01日,有,47750,,10
Yes(100),Yes(1870 - 2150),36%,6177,910,01月05日,有,,,10
推荐,Yes(1860 - 1460),33%,6299,203,01月01日,有,40516,,12
Yes(100),Yes(1270 - 2190),35%,3729,864,01月15日,有,49598,,10
不需要,Yes(1860 - 2160),33%,14682,4000,12月15日,无,32396,,18
Yes(80),Yes(1670 - 2030),40%,19186,234,11月30日,有,36624,,18
Yes(90),Yes(1830 - 2180),38%,4911,682,01月15日,有,44550,,11
Yes(80),Yes(1710 - 2050),41%,23530,2100,11月30日,无,36848,
Yes(83),Yes(2050 - 2080),37%,23850,680,11月30日,有,38265,,18
Yes(83),Yes(1770 - 1970),41%,27728,,11月30日,有,38659,,18
Yes(79),Yes(1820 - 2120),59%,32959,2483,01月02日,有,29646,,18
Yes(90),"Yes(无最低分数要求
        )",32%,15906,3059,01月04日,有,,,13
Yes(88),Yes(1880 - 1290),41%,5379,800,01月15日,无,46269,,15
Yes(80),Yes(1760 - 2070),50%,31289,4077,02月01日,无,30665,,17
Yes(100),Yes(1880 - 1344),28%,8353,185,01月15日,有,49638,,9
Yes(92),不需要,32%,17400,2455,01月15日,有,44620,
Yes(80),Yes(1620 - 2000),50%,40541,1431,02月01日,有,31346,,16
不需要,Yes(1780 - 2040),47%,33720,584,11月01日,有,28658,,21
推荐,Yes(1860 - 1410),34%,5062,174,01月01日,有,44520,,10
Yes(80),不需要,38%,11273,1053,01月01日,有,45724,,11
Yes(92),推荐,55%,30672,4026,12月31日,无,34143,,11
Yes(79),Yes(1690 - 1340),53%,44741,1873,02月01日,有,27365,,19
Yes(79),Yes(1660 - 2050),40%,39523,3596,12月01日,有,34836,,17
Yes(80),Yes(1810 - 2040),36%,3451,320,01月05日,有,48090,,13
Yes(84),Yes(1630 - 2040),82%,2817,407,02月01日,有,39530,,7
Yes(90),不需要,43.8%,,,01月01日,有,50367,,13
Yes(79),不需要,54%,18032,261,01月15日,无,32940,,16
Yes(100),Yes(1770 - 1420),47%,27056,688,01月20日,无,31144,,17
Yes(79),Yes(1760 - 2130),44%,4235,294,02月01日,有,44970,,14
Yes(79),Yes(1600 - 1960),59%,29255,2636,01月15日,有,30804,,13
Yes(80),不需要,53%,15224,710,01月01日,无,43440,,16
Yes(80),Yes(1680 - 1462),56%,26882,261,01月15日,无,29832,,18
Yes(79),Yes(1730 - 1330),52%,17260,154,05月01日,有,32800,,17
Yes(80),Yes(1750 - 2070),52%,6391,384,01月15日,有,48190,,11
Yes(100),Yes(1730 - 2000),53%,25,246,04月01日,无,28958,,14
Yes(90),Yes(1720 - 2030),48%,8633,189,01月15日,有,46932,,14
Yes(80),Yes(1690 - 1370),47%,27163,1076,02月01日,有,10300,,18
Yes(79),Yes(1700 - 2071),45%,34351,1470,12月15日,有,22210,,17
Yes(80),Yes(1650 - 1960),73%,24247,455,01月15日,无,28525,,16
Yes(80),Yes(1610 - 1900),71%,47093,671,12月01日,有,28021,,20
Yes(79),Yes(1720 - 2030),60%,40000,3797,12月01日,有,28591,,14
Yes(80),不需要,46%,7706,467,01月15日,有,46165,,12
Yes(76),Yes(1660 - 1310),55%,13859,491,02月01日,有,40198,,15
Yes(79),Yes(1430 - 1850),66%,36786,1892,05月01日,有,36360,,17
Yes(79),Yes(1110 - 1910),76%,36419,,02月01日,有,33741,,18
Yes(90),不需要,63%,17848,,01月15日,有,30692,,15
Yes(80),Yes(1127 - 1300),61%,22252,304,01月15日,有,30504,,17
Yes(80),Yes(1620 - 1330),62%,2301,201,01月15日,有,41940,,10
Yes(80),Yes(1750 - 2050),44%,2892,172,02月01日,有,45540,,8
Yes(79),Yes(1230 - 1350),37%,4456,247,04月01日,无,34828,,16
Yes(80),Yes(1530 - 1900),52%,15978,119,11月30日,无,36276,,18
Yes(80),Yes(1530 - 1910),81%,22354,815,03月01日,有,26464,,16
Yes(80),Yes(1650 - 1940),67%,15081,1659,02月01日,有,30394,,17
Yes(80),Yes(1580 - 1910),49%,8647,432,12月15日,有,40720,,13
Yes(80),Yes(1650 - 1940),77%,5087,320,01月15日,有,44178,,11
Yes(80),Yes(1900),41%,3174,571,02月01日,有,34704,,11
推荐,不需要,67%,8365,166,04月01日,有,38000,,14
Yes(80),Yes(1890 - 1980),49%,23663,618,12月15日,有,42908,,15
Yes(83),Yes(1820 - 2070),42%,12997,2066,01月15日,无,,,17
Yes(80),不需要,41%,16410,1482,01月15日,有,23935,,17
Yes(75),Yes(1900 - 1280),84%,25805,626,01月15日,无,34125,,18
Yes(85),Yes(1590 - 1950),51%,24473,626,01月01日,无,24932,,16
Yes(79),Yes(1680 - 1940),73%,10992,,01月15日,有,39130,,17
推荐,Yes(1580 - 1830),51%,1826,182,02月01日,无,17567,,13
Yes(80),Yes(1630 - 2000),64%,8800,,12月01日,有,37966,,13
Yes(80),Yes(1730 - 1920),55%,34928,368,01月14日,有,21673,,26
Yes(71),Yes(1490 - 1950),51%,30752,527,03月01日,有,25950,,21
Yes(79),Yes(1900 - 1930),76%,16896,2558,01月13日,有,48791,,10
Yes(79),Yes(1570 - 1270),57%,19829,2535,01月01日,有,24541,,13
Yes(79),Yes(1412 - 1890),63%,10322,163,滚动招生,无,40426,,14
Yes(60),不需要,83%,,,,无,,
Yes(70),Yes(1900 - 1330),70%,19979,2210,05月01日,有,22446,,21
Yes(61),Yes(1570 - 1090),78%,27654,1620,03月01日,有,26048,,21
Yes(70),不需要,75%,30386,13955,04月15日,有,30626,,17
Yes(109),Yes(990 - 1220),75%,20559,1103,01月15日,有,32024,,18
Yes(80),Yes(1650 - 1200),80%,12840,130,01月01日,有,30256,,19
不需要,不需要,65.2%,24864,,滚动招生,无,,,17
Yes(79),Yes(1900),80%,21028,1778,,有,22049,,18
Yes(61),不需要,73%,3877,194,01月15日,有,41342,,13
Yes(71),Yes(1520 - 1300),87%,28893,1439,07月01日,有,20856,,19
Yes(79),Yes(1540 - 1900),60%,6845,609,01月01日,有,42634,,12
Yes(80),Yes(1660 - 2020),51%,2926,545,滚动招生,有,43680,,13
Yes(70),未公布,59%,8529,1100,11月01日,有,39090,,15
nan
不需要,Yes(1550 - 1800),74%,5858,650,02月01日,有,32636,
Yes(79),不需要,64%,37621,2281,滚动招生,有,25450,
Yes(80),不需要,89%,6240,530,04月01日,有,39594,,15
nan
"Yes(无最低分数要求
        )",不需要,88.4%,18851,2283,03月15日,有,,,18
Yes(80),Yes(1470 - 1290),81%,24840,805,01月01日,有,22087,,13
Yes(80),Yes(1550 - 1885),62%,3247,116,01月01日,有,44630,,14
Yes(80),Yes(1420 - 1790),58.3%,18539,927,11月30日,有,39727,,19
Yes(80),不需要,60%,16498,419,02月01日,有,35071,,17
Yes(80),Yes(1900 - 1830),60%,3572,179,02月15日,有,39726,,9
Yes(79),Yes(1590 - 1945),76%,5662,416,01月15日,有,30250,,13
Yes(79),Yes(1480 - 1820),76%,5817,143,01月01日,有,36926,,14
Yes(79),Yes(1120 - 1260),77%,23798,448,02月01日,有,27258,,17
Yes(79),Yes(1550 - 1865),75%,6835,1829,01月01日,有,26000,
Yes(79),未公布,N/A,,,滚动招生,无,,,25
Yes(71),不需要,69%,21523,610,05月15日,有,22888,,18
Yes(61),不需要,84%,39968,5137,05月01日,有,27258,,22
Yes(70),Yes(1460 - 1820),75%,32987,1632,01月01日,有,32600,,22
Yes(80),Yes(1460 - 1890),73%,16660,295,01月01日,有,26618,,17
Yes(79),Yes(1020 - 1190),56%,12929,1300,03月01日,有,22116,,18
Yes(79),Yes(1520 - 1230),62%,21836,539,01月01日,有,21826,,19
nan
nan
Yes(71),不需要,73%,17375,1881,02月01日,有,20922,,18
Yes(80),Yes(1380 - 1810),78%,23903,445,01月01日,有,28767,,19
Yes(88),Yes(1520 - 1840),67%,22234,1837,01月15日,无,31598,,16
Yes(79),Yes(1440 - 1760),48%,7013,360,01月01日,有,23970,,7
Yes(79),不需要,82%,19446,1874,01月31日,有,25510,,15
Yes(79),Yes(1200),81%,18101,434,06月01日,有,20674,,18
推荐,Yes(1530 - 1860),76%,24407,386,03月01日,无,26334,,18
Yes(80),Yes(1200 - 1990),62%,12029,438,01月01日,有,31328,,22
Yes(79),Yes(1510 - 1840),64%,7550,303,03月01日,有,30326,,18
Yes(79),Yes(1630 - 1718),63%,7408,168,01月01日,有,28987,,11
不需要,推荐,95%,20169,835,01月01日,无,23429,,19
Yes(79),推荐,86%,6522,130,01月01日,有,26308,,18
nan
Yes(80),不需要,35%,28362,2400,11月30日,有,18136,,28
Yes(77),不需要,86%,11679,586,05月01日,有,21956,,18
nan
nan
nan
nan
nan
nan
推荐,Yes(1460 - 1800),69%,23962,1214,滚动招生,有,30838,,17
Yes(79),Yes(1200 - 1870),48%,31067,566,01月01日,有,17324,,22
Yes(48),Yes(1250 - 1800),60%,11379,517,01月01日,有,23770,,20
nan
nan
Yes(61),Yes(1760),78%,14126,1600,01月05日,有,31516,,13
Yes(79),Yes(1260),62%,3636,1340,滚动招生,有,39290,,9
不需要,不需要,76%,13354,264,12月01日,有,28852,,16
nan
nan
nan
nan
Yes(79),不需要,71%,29237,1700,05月01日,有,22482,,22
Yes(70),不需要,65%,12312,667,03月01日,有,21324,
nan
Yes(71),Yes(1230),98%,10117,2762,06月01日,有,15638,,17
Yes(79),Yes(1400 - 1730),60%,16415,212,08月15日,无,25016,,15
Yes(79),Yes(1510 - 1260),74%,15962,307,01月01日,无,24320,,17
Yes(79),Yes(1430 - 1780),83%,9339,208,01月01日,有,28880,,16
nan
Yes(61),Yes(1380 - 1140),86%,22563,1740,04月01日,有,21432,,21
nan
nan
nan
推荐,推荐,87%,5969,717,02月15日,有,41281,,16
nan
Yes(68),Yes(1400 - 1190),45%,27889,371,01月01日,有,21304,,20
nan
Yes(71),Yes(600 - 1180),71%,11724,645,01月01日,有,18410,,19
nan
nan
nan
不需要,不需要,84%,11962,0,05月31日,有,18500,
nan
nan
Yes(79),Yes(1250),63%,32915,3365,04月01日,有,25364,,22
nan
Yes(79),Yes(1380 - 1660),60%,15173,487,01月01日,有,21595,,18
nan
nan
nan
nan
nan
nan
nan
nan
nan
Yes(75),Yes(1445 - 1600),69%,13010,446,07月22日,无,29319,,16
nan
nan
nan
